,NtotDose,PtotDose,KtotDose,pspe_knn,pspe_rf,pspe_nn,pspe_gp
47,47.0,0.04348870876571277,-0.7372605537895305,1.0789061709473684,1.0750515591741228,1.0836920990558758,1.080471313621309
48,48.0,0.04348870876571277,-0.7372605537895305,1.0789061709473684,1.0750515591741228,1.0837058841424774,1.0804787201468913
49,49.0,0.04348870876571277,-0.7372605537895305,1.0789061709473684,1.0750515591741228,1.08371922896661,1.0804859785455745
50,50.0,0.04348870876571277,-0.7372605537895305,1.0789061709473684,1.0750515591741228,1.0837321349279037,1.0804930877425782
51,51.0,0.04348870876571277,-0.7372605537895305,1.0789061709473684,1.0756301151741228,1.0837446036153704,1.0805000466933936
52,52.0,0.04348870876571277,-0.7372605537895305,1.0789061709473684,1.0756301151741228,1.0837566368088973,1.0805068543840002
53,53.0,0.04348870876571277,-0.7372605537895305,1.0789061709473684,1.0756301151741228,1.0837682364804633,1.0805135098310688
54,54.0,0.04348870876571277,-0.7372605537895305,1.0789061709473684,1.0756301151741228,1.083779404795065,1.0805200120821428
55,55.0,0.04348870876571277,-0.7372605537895305,1.0789061709473684,1.0756301151741228,1.0837901441113467,1.0805263602158022
56,56.0,0.04348870876571277,-0.7372605537895305,1.0789061709473684,1.0756301151741228,1.0838004569819137,1.08053255334181
57,57.0,0.04348870876571277,-0.7372605537895305,1.0789061709473684,1.0756301151741228,1.0838103461533293,1.0805385906012384
58,58.0,0.04348870876571277,-0.7372605537895305,1.0789061709473684,1.0756301151741228,1.0838198145657747,1.0805444711665797
59,59.0,0.04348870876571277,-0.7372605537895305,1.0789061709473684,1.0756301151741228,1.0838288653523713,1.0805501942418367
60,60.0,0.04348870876571277,-0.7372605537895305,1.0786428704210527,1.0756301151741228,1.083837501838154,1.080555759062596
61,61.0,0.04348870876571277,-0.7372605537895305,1.0786428704210527,1.0756301151741228,1.083845727538687,1.080561164896085
62,62.0,0.04348870876571277,-0.7372605537895305,1.0786428704210527,1.0756301151741228,1.083853546158317,1.0805664110412088
63,63.0,0.04348870876571277,-0.7372605537895305,1.0786428704210527,1.0756301151741228,1.0838609615880603,1.0805714968285722
64,64.0,0.04348870876571277,-0.7372605537895305,1.0786428704210527,1.0756301151741228,1.0838679779031182,1.0805764216204836
65,65.0,0.04348870876571277,-0.7372605537895305,1.0785695101052633,1.0756301151741228,1.0838745993600152,1.0805811848109417
66,66.0,0.04348870876571277,-0.7372605537895305,1.0785695101052633,1.0756301151741228,1.083880830393364,1.0805857858256065
67,67.0,0.04348870876571277,-0.7372605537895305,1.0785695101052633,1.0756301151741228,1.0838866756122525,1.080590224121754
68,68.0,0.04348870876571277,-0.7372605537895305,1.0785695101052633,1.0756301151741228,1.0838921397962549,1.080594499188215
69,69.0,0.04348870876571277,-0.7372605537895305,1.0785695101052633,1.0756301151741228,1.0838972278910697,1.0805986105452978
70,70.0,0.04348870876571277,-0.7372605537895305,1.0785695101052633,1.0756301151741228,1.0839019450037883,1.080602557744696
71,71.0,0.04348870876571277,-0.7372605537895305,1.079365066631579,1.0756301151741228,1.083906296397797,1.080606340369382
72,72.0,0.04348870876571277,-0.7372605537895305,1.0795156877368421,1.0756301151741228,1.0839102874873232,1.0806099580334858
73,73.0,0.04348870876571277,-0.7372605537895305,1.079365066631579,1.0756301151741228,1.0839139238316287,1.080613410382159
74,74.0,0.04348870876571277,-0.7372605537895305,1.0792691500526317,1.0756301151741228,1.0839172111288633,1.0806166970914266
75,75.0,0.04348870876571277,-0.7372605537895305,1.0792691500526317,1.0756301151741228,1.0839201552095872,1.0806198178680244
76,76.0,0.04348870876571277,-0.7372605537895305,1.0794012023157895,1.0767957249285087,1.083922762029975,1.0806227724492241
77,77.0,0.04348870876571277,-0.7372605537895305,1.0794012023157895,1.0767957249285087,1.0839250376647147,1.0806255606026463
78,78.0,0.04348870876571277,-0.7372605537895305,1.0794012023157895,1.0767957249285087,1.083926988299617,1.0806281821260613
79,79.0,0.04348870876571277,-0.7372605537895305,1.0794012023157895,1.0767957249285087,1.0839286202239495,1.080630636847179
80,80.0,0.04348870876571277,-0.7372605537895305,1.0794012023157895,1.0767957249285087,1.0839299398225153,1.0806329246234276
81,81.0,0.04348870876571277,-0.7372605537895305,1.0794012023157895,1.0767957249285087,1.0839309535674924,1.0806350453417213
82,82.0,0.04348870876571277,-0.7372605537895305,1.0794012023157895,1.0767957249285087,1.0839316680100555,1.0806369989182192
83,83.0,0.04348870876571277,-0.7372605537895305,1.0794012023157895,1.0767957249285087,1.083932089771799,1.0806387852980741
84,84.0,0.04348870876571277,-0.7372605537895305,1.0794012023157895,1.0767957249285087,1.0839322255359858,1.0806404044551727
85,85.0,0.04348870876571277,-0.7372605537895305,1.0794012023157895,1.0767957249285087,1.0839320820386398,1.080641856391866
86,86.0,0.04348870876571277,-0.7372605537895305,1.0794012023157895,1.0767957249285087,1.0839316660595113,1.0806431411386948
87,87.0,0.04348870876571277,-0.7372605537895305,1.0794012023157895,1.0767957249285087,1.0839309844129348,1.0806442587541032
88,88.0,0.04348870876571277,-0.7372605537895305,1.0794012023157895,1.0767957249285087,1.083930043938606,1.0806452093241496
89,89.0,0.04348870876571277,-0.7372605537895305,1.0794012023157895,1.0767957249285087,1.0839288514923031,1.0806459929622088
90,90.0,0.04348870876571277,-0.7372605537895305,1.0794012023157895,1.0767957249285087,1.083927413936578,1.0806466098086676
91,91.0,0.04348870876571277,-0.7372605537895305,1.0794012023157895,1.0767957249285087,1.0839257381314424,1.0806470600306164
92,92.0,0.04348870876571277,-0.7372605537895305,1.0794012023157895,1.0767957249285087,1.0839238309250758,1.0806473438215352
93,93.0,0.04348870876571277,-0.7372605537895305,1.0794012023157895,1.0767957249285087,1.0839216991445824,1.0806474614009738
94,94.0,0.04348870876571277,-0.7372605537895305,1.0794012023157895,1.0767957249285087,1.0839193495868198,1.0806474130142307
95,95.0,0.04348870876571277,-0.7372605537895305,1.0794012023157895,1.0767957249285087,1.0839167890093289,1.080647198932024
96,96.0,0.04348870876571277,-0.7372605537895305,1.0794012023157895,1.0767957249285087,1.0839140241213885,1.080646819450164
97,97.0,0.04348870876571277,-0.7372605537895305,1.0794012023157895,1.0767957249285087,1.0839110615752199,1.0806462748892176
98,98.0,0.04348870876571277,-0.7372605537895305,1.0795203003157894,1.0767957249285087,1.0839079079573672,1.0806455655941756
99,99.0,0.04348870876571277,-0.7372605537895305,1.0795203003157894,1.0767957249285087,1.083904569780275,1.080644691934114
100,100.0,0.04348870876571277,-0.7372605537895305,1.0795203003157894,1.0767957249285087,1.0839010534740898,1.0806436543018552
101,101.0,0.04348870876571277,-0.7372605537895305,1.0793696313157894,1.0767957249285087,1.0838973653787047,1.0806424531136283
102,102.0,0.04348870876571277,-0.7372605537895305,1.0793696313157894,1.0767957249285087,1.0838935117360695,1.0806410888087272
103,103.0,0.04348870876571277,-0.7372605537895305,1.0793696313157894,1.0768993059285088,1.0838894986827883,1.08063956184917
104,104.0,0.04348870876571277,-0.7372605537895305,1.0793696313157894,1.0768993059285088,1.0838853322430213,1.0806378727193564
105,105.0,0.04348870876571277,-0.7372605537895305,1.0793696313157894,1.0768993059285088,1.0838810183217107,1.0806360219257258
106,106.0,0.04348870876571277,-0.7372605537895305,1.0793696313157894,1.0768993059285088,1.0838765626981466,1.0806340099964171
107,107.0,0.04348870876571277,-0.7372605537895305,1.0793696313157894,1.0768993059285088,1.0838719710198876,1.080631837480927
108,108.0,0.04348870876571277,-0.7372605537895305,1.0793696313157894,1.0768993059285088,1.083867248797054,1.080629504949771
109,109.0,0.04348870876571277,-0.7372605537895305,1.0793696313157894,1.0768993059285088,1.0838624013970009,1.0806270129941447
110,110.0,0.04348870876571277,-0.7372605537895305,1.0793696313157894,1.0768993059285088,1.0838574340393847,1.0806243622255878
