,NtotDose,PtotDose,KtotDose,ilr_knn,ilr_rf,ilr_nn,ilr_gp
31,31.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.313604110041053,-3.1984893971770068,-2.7055761267332183
32,32.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.313604110041053,-3.1902100943128504,-2.6966421327729204
33,33.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.313604110041053,-3.1819560974255165,-2.687755844050296
34,34.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.313604110041053,-3.1737272381840205,-2.6789180332777294
35,35.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.313604110041053,-3.1655233414587443,-2.67012941851075
36,36.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.313604110041053,-3.157344225383035,-2.6613906625134254
37,37.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.313604110041053,-3.1491897014172796,-2.6527023721765906
38,38.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.313604110041053,-3.1410595744154253,-2.6440650979889075
39,39.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.313604110041053,-3.132953642693914,-2.6354793335642492
40,40.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.313604110041053,-3.1248716981030213,-2.6269455152217462
41,41.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.313604110041053,-3.1168135261005245,-2.6184640216244004
42,42.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-3.313604110041053,-3.108778905827722,-2.610035173473535
43,43.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-2.9487467651441195,-3.100767610187721,-2.601659233261735
44,44.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-2.9487467651441195,-3.0927794059260028,-2.5933364050838525
45,45.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-2.9487467651441195,-3.084814053713197,-2.5850668345077485
46,46.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-2.9487467651441195,-3.076871308230055,-2.5768506085051417
47,47.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-2.9487467651441195,-3.0689509182545636,-2.568687755439801
48,48.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-2.9487467651441195,-3.061052626751188,-2.5605782451215315
49,49.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-2.9487467651441195,-3.0531761709621836,-2.5525219889145916
50,50.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-2.9487467651441195,-3.045321282500944,-2.5445188399122625
51,51.0,-0.17139528383314787,-0.8358808329727005,-2.8078603897266063,-2.9487467651441195,-3.0374876874473626,-2.5365685931693385
