,NtotDose,PtotDose,KtotDose,yield_knn,yield_rf,yield_nn,yield_gp,cost,gp_revenue,gp_benefit
62,62.0,-0.19842677557931385,-0.926924156250261,28.479531371452964,26.67343134208411,19.132383241004234,28.98601328614722,74.39999999999999,7246.503321536805,7172.103321536805
63,63.0,-0.19842677557931385,-0.926924156250261,28.48862256167197,26.925826210223605,19.21371647492994,29.06600420005376,75.6,7266.50105001344,7190.90105001344
64,64.0,-0.19842677557931385,-0.926924156250261,28.497753165936697,26.925826210223605,19.29490478371587,29.1461996835561,76.8,7286.549920889025,7209.749920889025
65,65.0,-0.19842677557931385,-0.926924156250261,28.50692164329577,26.925826210223605,19.375928108659235,29.226587908725946,78.0,7306.646977181486,7228.646977181486
66,66.0,-0.19842677557931385,-0.926924156250261,28.516126432366015,27.20296151554969,19.456766593619044,29.307157069149408,79.2,7326.789267287352,7247.589267287352
67,67.0,-0.19842677557931385,-0.926924156250261,28.52536595210738,27.20296151554969,19.53740061438366,29.38789538280906,80.39999999999999,7346.973845702265,7266.573845702265
68,68.0,-0.19842677557931385,-0.926924156250261,28.534638602616674,27.20296151554969,19.617810808105574,29.468791094928,81.6,7367.197773732,7285.597773732
69,69.0,-0.19842677557931385,-0.926924156250261,28.543942765939384,27.20296151554969,19.69797810279395,29.54983248077089,82.8,7387.458120192722,7304.658120192722
70,70.0,-0.19842677557931385,-0.926924156250261,28.553276806898303,27.20296151554969,19.777883746853057,29.63100784840455,84.0,7407.751962101138,7323.751962101138
71,71.0,-0.19842677557931385,-0.926924156250261,28.56263907393809,27.365192534453676,19.85750933865201,29.71230554141608,85.2,7428.076385354019,7342.8763853540195
72,72.0,-0.19842677557931385,-0.926924156250261,28.572027899984608,27.365192534453676,19.936836856108755,29.793713941585967,86.39999999999999,7448.428485396492,7362.028485396492
73,73.0,-0.19842677557931385,-0.926924156250261,29.842659691841373,27.365192534453676,20.01584868626816,29.8752214715185,87.6,7468.805367879625,7381.205367879625
74,74.0,-0.19842677557931385,-0.926924156250261,29.851255068110433,27.365192534453676,20.09452765485086,29.95681659722619,88.8,7489.204149306547,7400.404149306547
75,75.0,-0.19842677557931385,-0.926924156250261,29.859892398108503,27.365192534453676,20.172857055746512,30.038487830668394,90.0,7509.621957667098,7419.621957667098
76,76.0,-0.19842677557931385,-0.926924156250261,29.868451581210817,28.5390202384058,20.25082068042149,30.12022373224355,91.2,7530.055933060888,7438.855933060888
77,77.0,-0.19842677557931385,-0.926924156250261,29.877476017795892,28.5390202384058,20.328402847207666,30.20201291323434,92.39999999999999,7550.503228308586,7458.103228308586
78,78.0,-0.19842677557931385,-0.926924156250261,29.886532129446227,28.62886739130435,20.40558843043525,30.28384403820445,93.6,7570.9610095511125,7477.361009551112
79,79.0,-0.19842677557931385,-0.926924156250261,29.895618135515374,28.62886739130435,20.482362889368915,30.36570582734777,94.8,7591.426456836943,7496.626456836942
80,80.0,-0.19842677557931385,-0.926924156250261,29.90473224027337,28.62886739130435,20.55871229690286,30.447587058788137,96.0,7611.896764697034,7515.896764697034
81,81.0,-0.19842677557931385,-0.926924156250261,29.913872633943544,28.46040681032609,20.634623367966412,30.52947657082934,97.2,7632.3691427073345,7535.169142707335
82,82.0,-0.19842677557931385,-0.926924156250261,29.923037493746673,28.46040681032609,20.71008348758813,30.611363264156136,98.39999999999999,7652.840816039034,7554.440816039034
83,83.0,-0.19842677557931385,-0.926924156250261,29.93222498495117,28.46040681032609,20.785080738562478,30.693236103984407,99.6,7673.309025996102,7573.709025996101
84,84.0,-0.19842677557931385,-0.926924156250261,29.941433261928207,28.46040681032609,20.859603928659624,30.775084122160386,100.8,7693.771030540097,7592.971030540097
85,85.0,-0.19842677557931385,-0.926924156250261,29.95066046921058,28.46040681032609,20.933642617314806,30.856896419209786,102.0,7714.224104802446,7612.224104802446
86,86.0,-0.19842677557931385,-0.926924156250261,29.959904742554144,28.46040681032609,21.007187141730526,30.93866216633451,103.2,7734.665541583628,7631.465541583628
87,87.0,-0.19842677557931385,-0.926924156250261,29.969164210000788,28.46040681032609,21.08022864232129,31.020370607358913,104.39999999999999,7755.092651839728,7650.692651839729
88,88.0,-0.19842677557931385,-0.926924156250261,29.978436992941816,28.93197765067029,21.152759087427196,31.1020110606234,105.6,7775.50276515585,7669.90276515585
89,89.0,-0.19842677557931385,-0.926924156250261,29.987721207180687,28.93197765067029,21.224771297219736,31.18357292082684,106.8,7795.8932302067105,7689.09323020671
90,90.0,-0.19842677557931385,-0.926924156250261,29.997014963994165,28.93197765067029,21.296258966720544,31.265045660816487,108.0,7816.2614152041215,7708.2614152041215
91,91.0,-0.19842677557931385,-0.926924156250261,30.006316371190795,28.94718791436594,21.367216687850686,31.346418833325483,109.2,7836.604708331371,7727.404708331371
92,92.0,-0.19842677557931385,-0.926924156250261,30.01562353416588,28.94718791436594,21.437639970426588,31.427682072659046,110.39999999999999,7856.920518164761,7746.520518164762
93,93.0,-0.19842677557931385,-0.926924156250261,30.024934556951944,28.94718791436594,21.507525262016316,31.50882509632783,111.6,7877.206274081957,7765.606274081957
94,94.0,-0.19842677557931385,-0.926924156250261,30.0342475432639,28.94718791436594,21.576869966568466,31.589837706628675,112.8,7897.4594266571685,7784.659426657168
95,95.0,-0.19842677557931385,-0.926924156250261,30.04356059753801,28.94718791436594,21.645672461725212,31.670709792174172,114.0,7917.677448043543,7803.677448043543
96,96.0,-0.19842677557931385,-0.926924156250261,30.05287182596392,29.27940721831729,21.713932114729893,31.75143132936971,115.19999999999999,7937.857832342427,7822.657832342427
97,97.0,-0.19842677557931385,-0.926924156250261,30.06217933750891,29.27940721831729,21.78164929683992,31.831992383837857,116.39999999999999,7957.998095959464,7841.598095959464
98,98.0,-0.19842677557931385,-0.926924156250261,30.071481244933736,29.27940721831729,21.84882539615568,31.91238311179294,117.6,7978.095777948235,7860.495777948235
99,99.0,-0.19842677557931385,-0.926924156250261,30.08077566579931,29.27940721831729,21.91546282877767,31.992593761361732,118.8,7998.148440340433,7879.348440340433
100,100.0,-0.19842677557931385,-0.926924156250261,30.09006072346355,29.27940721831729,21.981565048204992,32.07261467385455,120.0,8018.1536684636385,7898.1536684636385
101,101.0,-0.19842677557931385,-0.926924156250261,32.30600662115401,29.27940721831729,22.04713655289096,32.15243628498438,121.19999999999999,8038.1090712460955,7916.909071246096
102,102.0,-0.19842677557931385,-0.926924156250261,32.31272028950959,29.27940721831729,22.11218289187415,32.23204912603549,122.39999999999999,8058.012281508873,7935.612281508873
103,103.0,-0.19842677557931385,-0.926924156250261,32.31942599041089,29.27940721831729,22.176710668406557,32.31144382498237,123.6,8077.860956245592,7954.260956245592
104,104.0,-0.19842677557931385,-0.926924156250261,32.326122383369544,29.27940721831729,22.240727541504874,32.39061110755713,124.8,8097.652776889282,7972.852776889282
105,105.0,-0.19842677557931385,-0.926924156250261,32.393861323890846,29.27940721831729,22.30424222535546,32.46954179826856,126.0,8117.385449567139,7991.385449567139
106,106.0,-0.19842677557931385,-0.926924156250261,32.39833958159401,29.140134231904245,22.36726448650878,32.54822682137144,127.19999999999999,8137.056705342861,8009.8567053428615
107,107.0,-0.19842677557931385,-0.926924156250261,32.402807265410814,29.140134231904245,22.42980513880571,32.626657201787346,128.4,8156.664300446836,8028.264300446836
108,108.0,-0.19842677557931385,-0.926924156250261,32.40726349825968,29.140134231904245,22.49187603598415,32.70482406597711,129.6,8176.206016494277,8046.606016494276
109,109.0,-0.19842677557931385,-0.926924156250261,32.41170741010247,29.140134231904245,22.55349006192246,32.78271864276478,130.79999999999998,8195.679660691194,8064.879660691194
110,110.0,-0.19842677557931385,-0.926924156250261,32.41613813836385,29.140134231904245,22.61466111848335,32.860332264116416,132.0,8215.083066029103,8083.083066029103
111,111.0,-0.19842677557931385,-0.926924156250261,32.42055482834425,29.26466205607091,22.675404110931325,32.93765636586937,133.2,8234.414091467343,8101.214091467343
112,112.0,-0.19842677557931385,-0.926924156250261,32.42495663362658,29.26466205607091,22.73573493090492,33.014682488418835,134.4,8253.670622104708,8119.270622104708
113,113.0,-0.19842677557931385,-0.926924156250261,32.42934271647613,29.26466205607091,22.795670436935367,33.091402277355805,135.6,8272.85056933895,8137.25056933895
114,114.0,-0.19842677557931385,-0.926924156250261,32.43371224823381,29.26466205607091,22.855228432512806,33.1678074840629,136.79999999999998,8291.951871015724,8155.151871015724
115,115.0,-0.19842677557931385,-0.926924156250261,32.43806440970236,29.26466205607091,22.91442764171158,33.243889966264376,138.0,8310.972491566094,8172.972491566094
116,116.0,-0.19842677557931385,-0.926924156250261,32.442398391525344,29.321868043255694,22.973287682397263,33.31964168853349,139.2,8329.910422133371,8190.710422133371
117,117.0,-0.19842677557931385,-0.926924156250261,32.65619518844143,29.321868043255694,23.031829037048453,33.39505472275726,140.4,8348.763680689315,8208.363680689316
118,118.0,-0.19842677557931385,-0.926924156250261,32.65995511079226,29.321868043255694,23.09007302123794,33.47012124855874,141.6,8367.530312139685,8225.930312139684
119,119.0,-0.19842677557931385,-0.926924156250261,32.66369833449571,29.321868043255694,23.148041749828785,33.54483355367896,142.79999999999998,8386.20838841974,8243.40838841974
120,120.0,-0.19842677557931385,-0.926924156250261,32.66742416967777,29.321868043255694,23.205758100952206,33.619184034317705,144.0,8404.796008579426,8260.796008579426
121,121.0,-0.19842677557931385,-0.926924156250261,32.67113193578496,29.39346801606625,23.26324567784519,33.693165195434695,145.2,8423.291298858674,8278.091298858673
122,122.0,-0.19842677557931385,-0.926924156250261,32.674820961907706,29.39346801606625,23.320528768636684,33.76676965101246,146.4,8441.692412753115,8295.292412753115
123,123.0,-0.19842677557931385,-0.926924156250261,32.678490587096974,29.39346801606625,23.377632304181958,33.839990124280995,147.6,8459.997531070248,8312.397531070248
124,124.0,-0.19842677557931385,-0.926924156250261,32.68214016067409,29.39346801606625,23.43458181405506,33.91281944790503,148.79999999999998,8478.204861976257,8329.404861976258
125,125.0,-0.19842677557931385,-0.926924156250261,32.685769042533266,29.39346801606625,23.49140338081889,33.98525056413503,150.0,8496.312641033757,8346.312641033757
126,126.0,-0.19842677557931385,-0.926924156250261,34.457033169868375,30.448549836410628,23.54812359270203,34.05727652492271,151.2,8514.319131230679,8363.119131230678
127,127.0,-0.19842677557931385,-0.926924156250261,34.45997986738644,30.448549836410628,23.60476949482009,34.12889049200282,152.4,8532.222623000704,8379.822623000704
128,128.0,-0.19842677557931385,-0.926924156250261,34.46293889880791,30.448549836410628,23.661368539087,34.200085736939535,153.6,8550.021434234885,8396.421434234884
129,129.0,-0.19842677557931385,-0.926924156250261,34.4659097285271,30.448549836410628,23.71794853296945,34.27085564114125,154.79999999999998,8567.713910285313,8412.913910285313
130,130.0,-0.19842677557931385,-0.926924156250261,34.46889181488441,30.448549836410628,23.774537587243334,34.34119369584387,156.0,8585.298423960967,8429.298423960967
131,131.0,-0.19842677557931385,-0.926924156250261,34.471884610434664,30.448549836410628,23.831164062917146,34.41109350206139,157.2,8602.773375515348,8445.573375515347
132,132.0,-0.19842677557931385,-0.926924156250261,34.47488756221828,30.448549836410628,23.88785651749118,34.48054877050765,158.4,8620.137192626913,8461.737192626913
133,133.0,-0.19842677557931385,-0.926924156250261,34.477900112035215,30.448549836410628,23.944643650725354,34.54955332148932,159.6,8637.38833037233,8477.78833037233
134,134.0,-0.19842677557931385,-0.926924156250261,34.54249293743668,30.448549836410628,24.001554250090493,34.61810108476926,160.79999999999998,8654.525271192315,8493.725271192316
135,135.0,-0.19842677557931385,-0.926924156250261,34.54566795485959,30.448549836410628,24.058617136079462,34.68618609940316,162.0,8671.54652485079,8509.54652485079
