PoidsSpec,NoEssai,NoBloc,NoTraitement,ID,ID_bl,DensitePlants,PrecCropFiveClasses,Cultivar,Maturity5,growing.season,temp_moy_5years,prec_tot_5years,sdi_5years,gdd_5years,NtotDose,PtotDose,KtotDose,soilTextIlr1,soilTextIlr2,soilTextIlr3,soilTypeIlr1_3,soilTypeIlr2_3,soil_pH,soil_P1_Fv.AlP,soil_P1_Al.P,soil_K2_FvMgCa.K,soil_K2_Fv.MgCa,soil_K2_Mg.Ca,soil_P,soil_K,soil_Al,ISP1,test_type
1.0765,72,1,1,72-1-1,72-1,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,0,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,4.99,-6.867963067881677,2.530161691650005,-3.188912421329783,-6.495605041262047,2.155783759394293,37.09740741,124.9385185,1328.407407,2.792622746193405,N
1.0792,72,1,2,72-1-2,72-1,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,70,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,4.99,-6.867963067881677,2.530161691650005,-3.188912421329783,-6.495605041262047,2.155783759394293,37.09740741,124.9385185,1328.407407,2.792622746193405,N
1.0793,72,1,3,72-1-3,72-1,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,105,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,4.99,-6.867963067881677,2.530161691650005,-3.188912421329783,-6.495605041262047,2.155783759394293,37.09740741,124.9385185,1328.407407,2.792622746193405,N
1.07206,72,1,4,72-1-4,72-1,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,140,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,4.99,-6.867963067881677,2.530161691650005,-3.188912421329783,-6.495605041262047,2.155783759394293,37.09740741,124.9385185,1328.407407,2.792622746193405,N
1.07588,72,1,5,72-1-5,72-1,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,140,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,4.99,-6.867963067881677,2.530161691650005,-3.188912421329783,-6.495605041262047,2.155783759394293,37.09740741,124.9385185,1328.407407,2.792622746193405,N
1.0736,72,1,6,72-1-6,72-1,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,175,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,4.99,-6.867963067881677,2.530161691650005,-3.188912421329783,-6.495605041262047,2.155783759394293,37.09740741,124.9385185,1328.407407,2.792622746193405,N
1.07591,72,1,7,72-1-7,72-1,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,210,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,4.99,-6.867963067881677,2.530161691650005,-3.188912421329783,-6.495605041262047,2.155783759394293,37.09740741,124.9385185,1328.407407,2.792622746193405,N
1.0774,72,1,8,72-1-8,72-1,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,105,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,4.99,-6.867963067881677,2.530161691650005,-3.188912421329783,-6.495605041262047,2.155783759394293,37.09740741,124.9385185,1328.407407,2.792622746193405,N
1.08571,72,1,9,72-1-9,72-1,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,140,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,4.99,-6.867963067881677,2.530161691650005,-3.188912421329783,-6.495605041262047,2.155783759394293,37.09740741,124.9385185,1328.407407,2.792622746193405,N
1.07531,72,2,1,72-2-1,72-2,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,0,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,4.97,-6.900285193440968,2.5848773185530622,-3.2150448079533938,-6.483961990023955,2.191649407959751,34.30444444,122.3751852,1327.222222,2.5846797824336,N
1.0805,72,2,2,72-2-2,72-2,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,70,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,4.97,-6.900285193440968,2.5848773185530622,-3.2150448079533938,-6.483961990023955,2.191649407959751,34.30444444,122.3751852,1327.222222,2.5846797824336,N
1.08072,72,2,3,72-2-3,72-2,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,105,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,4.97,-6.900285193440968,2.5848773185530622,-3.2150448079533938,-6.483961990023955,2.191649407959751,34.30444444,122.3751852,1327.222222,2.5846797824336,N
1.07252,72,2,4,72-2-4,72-2,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,140,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,4.97,-6.900285193440968,2.5848773185530622,-3.2150448079533938,-6.483961990023955,2.191649407959751,34.30444444,122.3751852,1327.222222,2.5846797824336,N
1.0777,72,2,5,72-2-5,72-2,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,140,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,4.97,-6.900285193440968,2.5848773185530622,-3.2150448079533938,-6.483961990023955,2.191649407959751,34.30444444,122.3751852,1327.222222,2.5846797824336,N
1.07649,72,2,6,72-2-6,72-2,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,175,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,4.97,-6.900285193440968,2.5848773185530622,-3.2150448079533938,-6.483961990023955,2.191649407959751,34.30444444,122.3751852,1327.222222,2.5846797824336,N
1.07591,72,2,7,72-2-7,72-2,36430,LRC,Kennebec,mid-season,125,17.207006984126984,441.40000000000003,-0.7180415222900665,2154.2200000000003,210,215,120,2.7544390354259116,0.503193318440905,-0.24959962218664067,-2.384684059784833,-2.4054598201063713,4.97,-6.900285193440968,2.5848773185530622,-3.2150448079533938,-6.483961990023955,2.191649407959751,34.30444444,122.3751852,1327.222222,2.5846797824336,N
