NoEssai,NoBloc,NoTraitement,ID,ID_bl,NtotDose,PtotDose,KtotDose,test_type,RendVendable
19,1,1,19-1-1,19-1,0,215,215,N,16.23511409
19,1,2,19-1-2,19-1,50,215,215,NPK,36.93488456
19,1,3,19-1-3,19-1,100,215,215,NPK,32.54185369
19,1,4,19-1-4,19-1,125,215,215,NPK,39.69246644
19,1,5,19-1-5,19-1,150,215,215,NPK,37.16169866
19,1,6,19-1-6,19-1,175,215,215,NPK,35.26362282
19,1,7,19-1-7,19-1,150,0,215,NPK,9.872381879
19,1,8,19-1-8,19-1,150,107.5,215,NPK,37.4243255
19,1,9,19-1-9,19-1,150,215,215,NPK,26.19105906
19,2,1,19-2-1,19-2,0,215,215,NPK,21.33246242
19,2,2,19-2-2,19-2,50,215,215,NPK,34.28474094
19,2,3,19-2-3,19-2,100,215,215,NPK,41.93673221
19,2,4,19-2-4,19-2,125,215,215,NPK,43.66768188
19,2,5,19-2-5,19-2,150,215,215,NPK,42.0202953
19,2,6,19-2-6,19-2,175,215,215,NPK,48.62177919
19,2,7,19-2-7,19-2,150,0,215,NPK,16.62905436
19,2,8,19-2-8,19-2,150,107.5,215,NPK,36.09925369
19,2,9,19-2-9,19-2,150,215,215,NPK,29.95139799
19,3,1,19-3-1,19-3,0,215,215,NPK,36.92294698
19,3,2,19-3-2,19-3,50,215,215,NPK,44.87337785
19,3,3,19-3-3,19-3,100,215,215,NPK,38.3196443
19,3,4,19-3-4,19-3,125,215,215,NPK,42.46198591
19,3,5,19-3-5,19-3,150,215,215,NPK,44.08549732
19,3,6,19-3-6,19-3,175,215,215,NPK,8.224995302
19,3,7,19-3-7,19-3,150,0,215,NPK,7.914618121
19,3,8,19-3-8,19-3,150,107.5,215,NPK,46.71176577
19,3,9,19-3-9,19-3,150,215,215,NPK,38.82102282
20,1,1,20-1-1,20-1,0,215,215,N,23.11116242
20,1,2,20-1-2,20-1,50,215,215,N,30.6079651
20,1,3,20-1-3,20-1,100,215,215,N,41.54279195
20,1,4,20-1-4,20-1,125,215,215,N,46.6162651
20,1,5,20-1-5,20-1,150,215,215,N,35.44268658
20,1,6,20-1-6,20-1,175,215,215,N,36.32606779
20,2,1,20-2-1,20-2,0,215,215,N,18.55100537
20,2,2,20-2-2,20-2,50,215,215,N,37.20944899
20,2,3,20-2-3,20-2,100,215,215,N,41.22047718
20,2,4,20-2-4,20-2,125,215,215,N,43.57218121
