,ID,NoEssai,NoBloc,ID_bl,NoTraitement,test_type
299,32-2-3,32,2,32-2,3,NPK
300,32-2-4,32,2,32-2,4,NPK
301,32-2-5,32,2,32-2,5,NPK
302,32-2-6,32,2,32-2,6,NPK
303,32-2-7,32,2,32-2,7,NPK
304,32-2-8,32,2,32-2,8,NPK
305,32-2-9,32,2,32-2,9,NPK
306,32-2-10,32,2,32-2,10,NPK
307,32-3-1,32,3,32-3,1,NPK
308,32-3-2,32,3,32-3,2,NPK
309,32-3-3,32,3,32-3,3,NPK
310,32-3-4,32,3,32-3,4,NPK
311,32-3-5,32,3,32-3,5,NPK
312,32-3-6,32,3,32-3,6,NPK
313,32-3-7,32,3,32-3,7,NPK
314,32-3-8,32,3,32-3,8,NPK
315,32-3-9,32,3,32-3,9,NPK
316,32-3-10,32,3,32-3,10,NPK
317,33-1-1,33,1,33-1,1,N
318,33-1-2,33,1,33-1,2,N
319,33-1-3,33,1,33-1,3,N
320,33-1-4,33,1,33-1,4,N
321,33-1-5,33,1,33-1,5,N
322,33-1-6,33,1,33-1,6,N
323,33-1-7,33,1,33-1,7,N
324,33-2-1,33,2,33-2,1,N
325,33-2-2,33,2,33-2,2,N
326,33-2-3,33,2,33-2,3,N
327,33-2-5,33,2,33-2,5,N
328,33-2-6,33,2,33-2,6,N
329,33-2-7,33,2,33-2,7,N
330,33-3-1,33,3,33-3,1,N
331,33-3-2,33,3,33-3,2,N
332,33-3-3,33,3,33-3,3,N
333,33-3-4,33,3,33-3,4,N
334,33-3-5,33,3,33-3,5,N
335,33-3-6,33,3,33-3,6,N
336,33-3-7,33,3,33-3,7,N
337,34-1-1,34,1,34-1,1,N
338,34-1-2,34,1,34-1,2,N
339,34-1-3,34,1,34-1,3,N
340,34-1-4,34,1,34-1,4,N
341,34-1-5,34,1,34-1,5,N
342,34-1-6,34,1,34-1,6,N
343,34-1-7,34,1,34-1,7,N
344,34-2-1,34,2,34-2,1,N
345,34-2-2,34,2,34-2,2,N
346,34-2-3,34,2,34-2,3,N
347,34-2-4,34,2,34-2,4,N
348,34-2-5,34,2,34-2,5,N
349,34-2-6,34,2,34-2,6,N
350,34-2-7,34,2,34-2,7,N
351,34-3-1,34,3,34-3,1,N
352,34-3-2,34,3,34-3,2,N
353,34-3-3,34,3,34-3,3,N
354,34-3-4,34,3,34-3,4,N
355,34-3-5,34,3,34-3,5,N
356,34-3-6,34,3,34-3,6,N
357,34-3-7,34,3,34-3,7,N
358,35-1-1,35,1,35-1,1,N
359,35-1-2,35,1,35-1,2,N
360,35-1-3,35,1,35-1,3,N
361,35-1-4,35,1,35-1,4,N
362,35-1-5,35,1,35-1,5,N
363,35-1-6,35,1,35-1,6,N
364,35-1-7,35,1,35-1,7,N
365,35-2-1,35,2,35-2,1,N
366,35-2-2,35,2,35-2,2,N
367,35-2-3,35,2,35-2,3,N
368,35-2-4,35,2,35-2,4,N
369,35-2-5,35,2,35-2,5,N
370,35-2-6,35,2,35-2,6,N
371,35-2-7,35,2,35-2,7,N
372,35-3-1,35,3,35-3,1,N
373,35-3-2,35,3,35-3,2,N
374,35-3-3,35,3,35-3,3,N
375,35-3-4,35,3,35-3,4,N
376,35-3-5,35,3,35-3,5,N
