,ID,NoEssai,NoBloc,ID_bl,NoTraitement,test_type,obsv,pred
169,15-1-1,15,1,15-1,1,N,0.444627,-0.006411
170,15-1-2,15,1,15-1,2,N,0.444627,0.609405
171,15-1-3,15,1,15-1,3,N,0.444627,0.826243
172,15-1-4,15,1,15-1,4,N,0.444627,0.898448
173,15-1-5,15,1,15-1,5,N,0.444627,0.859994
174,15-1-6,15,1,15-1,6,N,-2.296167,0.892491
175,15-2-1,15,2,15-2,1,N,0.444627,-0.092476
176,15-2-2,15,2,15-2,2,N,0.444627,0.408304
177,15-2-3,15,2,15-2,3,N,0.444627,0.560266
178,15-2-4,15,2,15-2,4,N,0.444627,0.853558
179,15-2-5,15,2,15-2,5,N,0.444627,0.760197
180,15-2-6,15,2,15-2,6,N,0.444627,0.727255
181,15-3-1,15,3,15-3,1,N,0.444627,0.050724
182,15-3-2,15,3,15-3,2,N,0.444627,0.295938
183,15-3-3,15,3,15-3,3,N,-1.843922,0.511687
184,15-3-4,15,3,15-3,4,N,0.444627,0.511143
185,15-3-5,15,3,15-3,5,N,0.444627,0.654135
186,15-3-6,15,3,15-3,6,N,0.444627,0.731426
187,16-1-1,16,1,16-1,1,N,0.444627,-0.006411
188,16-1-2,16,1,16-1,2,N,0.587363,0.609405
189,16-1-3,16,1,16-1,3,N,0.865996,0.826243
190,16-1-4,16,1,16-1,4,N,0.981458,0.898448
191,16-1-5,16,1,16-1,5,N,0.85533,0.859994
192,16-1-6,16,1,16-1,6,N,0.841201,0.892491
193,16-2-1,16,2,16-2,1,N,-0.060745,-0.092476
194,16-2-2,16,2,16-2,2,N,0.873645,0.408304
195,16-2-3,16,2,16-2,3,N,1.075193,0.560266
196,16-2-4,16,2,16-2,4,N,0.917316,0.853558
197,16-2-5,16,2,16-2,5,N,1.23926,0.760197
198,16-2-6,16,2,16-2,6,N,1.369611,0.727255
199,16-3-1,16,3,16-3,1,N,0.444627,0.050724
200,16-3-2,16,3,16-3,2,N,0.518478,0.295938
201,16-3-3,16,3,16-3,3,N,0.664677,0.511687
202,16-3-4,16,3,16-3,4,N,-1.473806,0.511143
203,16-3-5,16,3,16-3,5,N,0.816836,0.654135
204,16-3-6,16,3,16-3,6,N,0.33994,0.731426
205,17-1-1,17,1,17-1,1,N,-1.51427,0.175666
206,17-1-2,17,1,17-1,2,NPK,1.060175,0.570714
207,17-1-3,17,1,17-1,3,NPK,1.440892,1.408345
208,17-1-4,17,1,17-1,4,NPK,1.375422,1.560703
209,17-1-5,17,1,17-1,5,NPK,1.68959,1.58622
210,17-1-6,17,1,17-1,6,NPK,1.70493,1.378309
211,17-1-7,17,1,17-1,7,NPK,-0.099363,0.431841
212,17-1-8,17,1,17-1,8,NPK,1.657421,1.09021
213,17-1-9,17,1,17-1,9,NPK,1.343953,1.58622
214,17-2-1,17,2,17-2,1,NPK,-0.620346,0.061376
215,17-2-2,17,2,17-2,2,NPK,1.53704,0.759442
216,17-2-3,17,2,17-2,3,NPK,2.094446,1.343028
217,17-2-4,17,2,17-2,4,NPK,1.666308,1.72141
218,17-2-5,17,2,17-2,5,NPK,2.006581,1.701686
219,17-2-6,17,2,17-2,6,NPK,1.385505,1.554661
220,17-2-7,17,2,17-2,7,NPK,0.598965,0.431841
221,17-2-8,17,2,17-2,8,NPK,1.361586,1.137095
222,17-2-9,17,2,17-2,9,NPK,1.024816,1.701686
223,18-2-1,18,2,18-2,1,N,-0.797135,-0.092476
224,18-2-2,18,2,18-2,2,N,-0.550168,0.408304
225,18-2-3,18,2,18-2,3,N,-0.204515,0.560266
226,18-2-4,18,2,18-2,4,N,0.320912,0.853558
227,18-2-5,18,2,18-2,5,N,0.651567,0.760197
228,18-2-6,18,2,18-2,6,N,0.707978,0.727255
229,18-3-1,18,3,18-3,1,N,-0.091658,0.050724
230,18-3-2,18,3,18-3,2,N,-1.156632,0.295938
231,18-3-3,18,3,18-3,3,N,0.344354,0.511687
232,18-3-4,18,3,18-3,4,N,-0.09892,0.511143
233,18-3-5,18,3,18-3,5,N,0.049477,0.654135
234,18-3-6,18,3,18-3,6,N,-0.57748,0.731426
235,19-1-1,19,1,19-1,1,N,-0.703513,0.175666
236,19-1-2,19,1,19-1,2,NPK,1.229489,0.570714
237,19-1-3,19,1,19-1,3,NPK,1.362649,1.408345
238,19-1-4,19,1,19-1,4,NPK,1.85836,1.560703
239,19-1-5,19,1,19-1,5,NPK,2.301998,1.58622
240,19-1-6,19,1,19-1,6,NPK,1.666647,1.378309
241,19-1-7,19,1,19-1,7,NPK,-1.097408,0.431841
242,19-1-8,19,1,19-1,8,NPK,1.812098,1.09021
243,19-1-9,19,1,19-1,9,NPK,0.985913,1.58622
244,19-2-1,19,2,19-2,1,NPK,-0.157907,0.061376
245,19-2-2,19,2,19-2,2,NPK,0.386292,0.759442
246,19-2-3,19,2,19-2,3,NPK,1.58343,1.343028
247,19-2-4,19,2,19-2,4,NPK,2.176577,1.72141
248,19-2-5,19,2,19-2,5,NPK,2.055232,1.701686
249,19-2-6,19,2,19-2,6,NPK,2.868297,1.554661
250,19-2-7,19,2,19-2,7,NPK,0.282635,0.431841
251,19-2-8,19,2,19-2,8,NPK,2.031827,1.137095
252,19-2-9,19,2,19-2,9,NPK,1.580887,1.701686
253,19-3-1,19,3,19-3,1,NPK,0.860371,0.085962
254,19-3-2,19,3,19-3,2,NPK,2.071566,0.748669
255,19-3-3,19,3,19-3,3,NPK,2.000036,1.115564
256,19-3-4,19,3,19-3,4,NPK,1.505708,1.256771
257,19-3-5,19,3,19-3,5,NPK,2.653988,1.306629
258,19-3-6,19,3,19-3,6,NPK,0.444627,1.273707
259,19-3-7,19,3,19-3,7,NPK,0.444627,0.431841
260,19-3-8,19,3,19-3,8,NPK,2.246509,0.691684
261,19-3-9,19,3,19-3,9,NPK,1.542409,1.306629
262,20-1-1,20,1,20-1,1,N,-1.099935,-0.006411
263,20-1-2,20,1,20-1,2,N,0.407634,0.609405
264,20-1-3,20,1,20-1,3,N,1.600752,0.826243
265,20-1-4,20,1,20-1,4,N,1.680227,0.898448
266,20-1-5,20,1,20-1,5,N,1.147205,0.859994
267,20-1-6,20,1,20-1,6,N,1.589104,0.892491
268,20-2-1,20,2,20-2,1,N,0.444627,-0.092476
269,20-2-2,20,2,20-2,2,N,0.937458,0.408304
270,20-2-3,20,2,20-2,3,N,0.602777,0.560266
271,20-2-4,20,2,20-2,4,N,1.836822,0.853558
272,20-2-5,20,2,20-2,5,N,1.279494,0.760197
273,20-2-6,20,2,20-2,6,N,1.760979,0.727255
274,20-3-1,20,3,20-3,1,N,-1.084852,0.050724
275,20-3-2,20,3,20-3,2,N,0.668077,0.295938
276,20-3-3,20,3,20-3,3,N,1.498304,0.511687
277,20-3-4,20,3,20-3,4,N,1.562394,0.511143
278,20-3-5,20,3,20-3,5,N,1.633228,0.654135
279,20-3-6,20,3,20-3,6,N,2.314478,0.731426
280,22-1-1,22,1,22-1,1,N,0.444627,-0.157031
281,22-1-2,22,1,22-1,2,N,-1.647323,-0.227881
282,22-1-3,22,1,22-1,3,N,0.444627,-0.265519
283,22-1-4,22,1,22-1,4,N,0.444627,-0.389492
284,22-1-5,22,1,22-1,5,N,-1.330972,-0.590135
285,22-1-6,22,1,22-1,6,N,-1.012216,-0.612093
286,22-1-7,22,1,22-1,7,N,0.444627,-0.227881
287,22-1-8,22,1,22-1,8,N,0.444627,-0.227881
288,22-1-9,22,1,22-1,9,N,0.444627,-0.389492
289,22-1-10,22,1,22-1,10,N,0.444627,-0.590135
290,22-3-1,22,3,22-3,1,N,0.444627,-0.157031
291,22-3-2,22,3,22-3,2,N,0.444627,-0.27293
292,22-3-3,22,3,22-3,3,N,0.444627,-0.411154
293,22-3-4,22,3,22-3,4,N,-1.132097,-0.49541
294,22-3-5,22,3,22-3,5,N,-2.021963,-0.466168
295,22-3-6,22,3,22-3,6,N,0.444627,-0.498179
296,22-3-7,22,3,22-3,7,N,0.444627,-0.27293
297,22-3-8,22,3,22-3,8,N,0.444627,-0.27293
298,22-3-9,22,3,22-3,9,N,-1.591973,-0.49541
299,22-3-10,22,3,22-3,10,N,0.444627,-0.389492
300,23-1-1,23,1,23-1,1,N,0.444627,-0.157031
301,23-1-2,23,1,23-1,2,N,-1.276516,-0.227881
302,23-1-3,23,1,23-1,3,N,0.444627,-0.265519
303,23-1-4,23,1,23-1,4,N,-1.302534,-0.389492
304,23-1-5,23,1,23-1,5,N,0.444627,-0.590135
305,23-1-6,23,1,23-1,6,N,-1.910735,-0.612093
306,23-1-7,23,1,23-1,7,N,-2.044549,-0.227881
307,23-1-8,23,1,23-1,8,N,0.444627,-0.227881
308,23-1-9,23,1,23-1,9,N,-0.949693,-0.389492
309,23-1-10,23,1,23-1,10,N,-0.895567,-0.590135
310,23-2-1,23,2,23-2,1,N,0.444627,-0.149669
311,23-2-2,23,2,23-2,2,N,0.11752,-0.13236
312,23-2-3,23,2,23-2,3,N,-0.654781,-0.266521
313,23-2-4,23,2,23-2,4,N,0.444627,-0.216841
314,23-2-5,23,2,23-2,5,N,-1.343347,-0.669956
315,23-2-6,23,2,23-2,6,N,-1.797932,-0.514915
316,23-2-7,23,2,23-2,7,N,0.444627,-0.13236
317,23-2-8,23,2,23-2,8,N,-0.408947,-0.13236
318,23-2-9,23,2,23-2,9,N,0.444627,-0.216841
319,23-2-10,23,2,23-2,10,N,0.444627,-0.355343
320,23-3-1,23,3,23-3,1,N,-1.402319,-0.157031
321,23-3-2,23,3,23-3,2,N,-1.935775,-0.27293
322,23-3-3,23,3,23-3,3,N,-1.567804,-0.411154
323,23-3-4,23,3,23-3,4,N,0.444627,-0.49541
324,23-3-5,23,3,23-3,5,N,-1.220059,-0.466168
325,23-3-6,23,3,23-3,6,N,0.444627,-0.498179
326,23-3-7,23,3,23-3,7,N,-0.457248,-0.27293
327,23-3-8,23,3,23-3,8,N,0.444627,-0.27293
328,23-3-9,23,3,23-3,9,N,0.444627,-0.49541
329,23-3-10,23,3,23-3,10,N,-1.401761,-0.389492
330,25-2-1,25,2,25-2,1,N,-0.101335,1.426602
331,25-2-2,25,2,25-2,2,N,0.659465,1.290741
332,25-2-3,25,2,25-2,3,N,1.361482,1.563864
333,25-2-4,25,2,25-2,4,N,1.70602,1.38703
334,25-2-5,25,2,25-2,5,N,1.436802,1.437365
335,25-2-6,25,2,25-2,6,N,1.479299,1.38703
336,25-2-7,25,2,25-2,7,N,1.645894,1.38703
337,25-2-8,25,2,25-2,8,N,1.054855,1.38703
338,25-3-1,25,3,25-3,1,N,-0.106876,1.51748
339,25-3-2,25,3,25-3,2,N,1.299125,1.487842
340,25-3-3,25,3,25-3,3,N,1.501599,1.763499
341,25-3-4,25,3,25-3,4,N,1.581318,1.738407
342,25-3-5,25,3,25-3,5,N,1.979862,1.546212
343,25-3-6,25,3,25-3,6,N,1.292686,1.738407
344,25-3-7,25,3,25-3,7,N,1.562107,1.738407
345,25-3-8,25,3,25-3,8,N,1.450533,1.738407
346,26-1-1,26,1,26-1,1,N,2.086528,1.504585
347,26-1-2,26,1,26-1,2,N,2.5429,1.550495
348,26-1-3,26,1,26-1,3,N,2.666402,1.806526
349,26-1-4,26,1,26-1,4,N,1.846309,1.599468
350,26-2-1,26,2,26-2,1,N,1.941491,1.504496
351,26-2-2,26,2,26-2,2,N,3.266374,1.637725
352,26-2-3,26,2,26-2,3,N,2.387957,1.830753
353,26-2-4,26,2,26-2,4,N,2.268682,1.64019
354,26-3-1,26,3,26-3,1,N,2.350548,1.517085
355,26-3-2,26,3,26-3,2,N,2.384446,1.671783
356,26-3-3,26,3,26-3,3,N,2.95152,1.743573
357,26-3-4,26,3,26-3,4,N,1.906207,1.476875
358,27-1-1,27,1,27-1,1,N,0.47215,1.453898
359,27-1-2,27,1,27-1,2,N,1.359264,1.504578
360,27-1-3,27,1,27-1,3,N,1.750984,1.583261
361,27-1-4,27,1,27-1,4,N,1.430229,1.41624
362,27-2-1,27,2,27-2,1,N,1.235762,1.504496
363,27-2-2,27,2,27-2,2,N,1.360675,1.504578
364,27-2-3,27,2,27-2,3,N,1.67835,1.830753
365,27-2-4,27,2,27-2,4,N,1.813333,1.64019
366,27-3-1,27,3,27-3,1,N,0.725872,1.409028
