X,ID,NoEssai,NoBloc,ID_bl,NoTraitement,test_type,obsv,pred,index,tsizeMS_L,tsizeS_M,RendGros,RendMoy,RendPetit
94,8-1-6,8,1,8-1,6,N,-1.049802,-0.256419,159,-1.4831947799396674,0.7719595816510105,3.133615772,33.26748826,11.16590436
95,8-2-1,8,2,8-2,1,N,-1.776061,-0.271208,160,-2.2039942209954613,0.8270289201082546,1.044538591,27.87425839,8.654748322
96,8-2-2,8,2,8-2,2,N,-1.087743,-0.60691,161,-1.520849875569811,0.9003481780237036,2.745644295,33.4252349,9.356081376
97,8-2-3,8,2,8-2,3,N,-0.738048,-0.794905,162,-1.173784452786269,0.955530660454555,3.952192953,32.70471644,8.467157718
98,8-2-4,8,2,8-2,4,N,-0.231382,-0.805807,163,-0.6709265482802289,1.19728932493198,8.738311409,46.34170067,8.523434899
99,8-2-5,8,2,8-2,5,N,-1.641023,-0.691878,164,-2.0699714086093324,1.143334909378384,1.465067114,41.49395638,8.236932886
100,8-2-6,8,2,8-2,6,N,0.068832,-0.703978,165,-0.37296984968670077,1.3000086758212963,10.23647819,40.52809732,6.446295302
101,8-3-1,8,3,8-3,1,N,0.444627,-0.090027,166,-5.551115123125783e-17,0.28095045979805866,0,17.92265436,12.04610738
102,8-3-2,8,3,8-3,2,N,0.444627,-0.294688,167,0,0.36765797445927967,0,31.07570134,18.47612416
103,8-3-3,8,3,8-3,3,N,-1.517095,-0.603253,168,-1.9469746267088455,0.7251309496077645,2.213879195,40.1265604,14.39021477
104,8-3-4,8,3,8-3,4,N,-2.152072,-0.450741,169,-2.577177746818353,0.7578735399289487,1.07438255,43.12180872,14.76462081
105,8-3-5,8,3,8-3,5,N,-0.263555,-0.35767,170,-0.7028576640487634,0.5663894924293199,8.660174497,30.57106711,13.7227953
106,8-3-6,8,3,8-3,6,N,-0.338009,-0.642432,171,-0.7767523560939354,0.6238948961339313,9.832228188,39.5730906,16.37619463
107,9-1-1,9,1,9-1,1,N,0.910397,0.346482,172,0.4622685420010535,1.7284847369761391,10.62244335,20.47145164,1.776392736
108,9-1-2,9,1,9-1,2,N,0.942573,0.461564,173,0.4942024202799387,2.143492548337364,11.59736275,28.82329631,1.390728523
109,9-1-3,9,1,9-1,3,N,0.770927,0.7779,174,0.32384718113074773,1.6017145160177253,11.36159547,23.7169948,2.462126678
110,9-1-4,9,1,9-1,4,N,1.573585,0.852452,175,1.1204707900400899,1.4938912135515388,23.66327567,17.25279312,2.086092785
111,9-1-5,9,1,9-1,5,N,1.133117,1.008661,176,0.6833140002738429,1.895382870180066,15.87400218,26.25970017,1.799590772
112,9-1-6,9,1,9-1,6,N,1.619769,1.116433,177,1.1663078631680426,1.9527621912519684,22.14123372,21.11161711,1.334025
113,9-2-1,9,2,9-2,1,N,0.229881,0.481361,178,-0.21313152382953254,1.5516353591250125,6.383622987,24.8271901,2.766535067
114,9-2-2,9,2,9-2,2,N,0.36577,0.500236,179,-0.0782638497260637,1.8161578834971603,7.335645302,29.16053305,2.235312584
115,9-2-3,9,2,9-2,3,N,1.163975,0.837003,180,0.7139400283521383,1.94861324914658,16.12627142,26.6805,1.695839124
116,9-2-4,9,2,9-2,4,N,1.193828,0.915804,181,0.7435688238636414,2.33648991214132,12.65980772,26.57306174,0.975897483
117,9-2-5,9,2,9-2,5,N,0.949619,0.8791,182,0.501196186284729,1.699353131859074,14.90705789,26.83270419,2.426313926
118,9-2-6,9,2,9-2,6,N,1.190498,0.854201,183,0.7402638904607054,2.2649336332617933,15.17565352,30.40502617,1.235539933
119,10-1-1,10,1,10-1,1,N,-0.839822,0.151691,190,-1.2747928789252723,-0.11617980167602021,1.503757895,6.600277895,7.778898947
120,10-1-2,10,1,10-1,2,N,-0.083667,-0.176737,191,-0.5243219745232454,0.5676706291928418,4.416149189,12.53885838,5.618276757
121,10-1-3,10,1,10-1,3,N,-0.318639,-0.107682,192,-0.7575274981485091,0.5667568453515133,5.370526452,20.27647742,9.097014194
122,10-1-4,10,1,10-1,4,N,-0.290739,-0.133923,193,-0.7298376839807227,0.1357077289841099,3.662434286,9.854742857,8.13384
123,10-1-5,10,1,10-1,5,N,0.066706,-0.038089,194,-0.3750793954119776,0.4561341118542371,5.351137297,11.69569946,6.135859459
124,10-1-6,10,1,10-1,6,N,0.176952,0.01302,195,-0.2656621792634184,0.5959413006047161,5.266027317,11.11214634,4.783873171
125,10-1-7,10,1,10-1,7,N,0.084834,0.10482,196,-0.35708852998706353,0.6166035519819131,6.236036757,14.93476541,6.244384865
126,10-1-8,10,1,10-1,8,N,0.427553,0.116868,197,-0.016945563119341256,0.9125236320833396,16.66236,32.4324,8.9232
127,10-1-9,10,1,10-1,9,N,0.331042,0.01302,198,-0.11273131087132426,0.8284167094770647,6.962322162,14.35874595,4.449541622
128,10-1-10,10,1,10-1,10,N,0.527052,0.10482,199,0.0818057093173073,0.9429288489252616,8.939350588,15.75288,4.151710588
129,10-1-11,10,1,10-1,11,N,0.613314,0.116868,200,0.16741859259479,1.1643192401058473,6.910086857,12.82293257,2.47104
130,10-2-1,10,2,10-2,1,N,-0.785003,-0.122417,201,-1.2203863151106353,0.3997372278776945,1.436292,8.4942,4.82625
131,10-2-2,10,2,10-2,2,N,-0.019598,-0.137189,202,-0.46073463258867714,0.8484002302621876,5.7915,18.552105,5.5887975
132,10-2-3,10,2,10-2,3,N,-0.760385,-0.039007,203,-1.195953232507705,0.45199012672271865,1.60776,9.57528,5.05296
133,10-2-4,10,2,10-2,4,N,-0.038072,0.159836,204,-0.4790699254017304,0.42348732777389153,5.595140571,13.57306971,7.457245714
134,10-2-5,10,2,10-2,5,N,0.437849,0.153452,205,-0.0067264384291796375,0.7577695163729696,9.838736471,16.95206118,5.805127059
135,10-2-6,10,2,10-2,6,N,0.667945,0.226037,206,0.22163927078124618,0.8513373343030536,11.61933882,16.17077647,4.851232941
136,10-2-7,10,2,10-2,7,N,0.034851,0.170897,207,-0.4066956745194618,0.6185235639560884,5.0868675,12.9633075,5.4054
137,10-2-8,10,2,10-2,8,N,1.134749,0.207663,208,0.6849340591040028,1.0618123422730101,20.64348,18.903456,4.211064
138,10-2-9,10,2,10-2,9,N,0.164919,0.226037,209,-0.2776052384066149,0.85637014398532,5.141943529,13.23641647,3.942762353
139,10-2-10,10,2,10-2,10,N,0.814479,0.170897,210,0.3670721319092198,0.8889040162020682,11.77808211,14.08655368,4.007311579
140,10-2-11,10,2,10-2,11,N,0.728657,0.207663,211,0.2818945745175139,1.2379897148331327,11.3256,19.24416,3.34152
141,12-1-1,12,1,12-1,1,N,0.444627,-0.119841,256,0,1.0013673761097555,0,19.07341714,4.628108571
142,12-1-2,12,1,12-1,2,N,0.444627,-0.220701,257,5.551115123125783e-17,1.0335188449282384,0,22.22894571,5.15403
143,12-1-3,12,1,12-1,3,N,-1.726735,-0.084548,258,-2.1550383540264724,1.5457246684705408,0.631105714,26.36619429,2.962690714
144,12-1-4,12,1,12-1,4,N,-1.695873,-0.214546,259,-2.1244091222812935,1.5095093571998548,0.631105714,24.75336857,2.927629286
145,12-2-1,12,2,12-2,1,N,0.444627,-0.148051,260,0,1.324782531851454,0,25.45459714,3.909349286
146,12-2-2,12,2,12-2,2,N,-1.818243,-0.22187,261,-2.2458590786063013,1.7536422278293107,0.596044286,32.23898357,2.69973
147,12-2-3,12,2,12-2,3,N,-1.709168,-0.184045,262,-2.137603478826797,1.903722215898131,0.648636429,34.16736214,2.314054286
148,12-2-4,12,2,12-2,4,N,-0.091374,-0.336235,263,-0.5319719276902586,2.0970346328347547,3.260712857,27.55828286,1.419987857
149,12-3-1,12,3,12-3,1,N,0.444627,-0.148051,264,0,1.0414709747259792,0,21.56277857,4.943661429
150,12-3-2,12,3,12-3,2,N,0.444627,-0.220701,265,-1.1102230246251565e-16,1.4260245091522978,0,24.36769286,3.243182143
151,12-3-3,12,3,12-3,3,N,0.444627,-0.084548,266,-1.1102230246251565e-16,1.635873502123133,0,24.28003929,2.401707857
152,12-3-4,12,3,12-3,4,N,-1.551729,-0.214546,267,-1.9813480361569094,1.3815871721294923,0.73629,22.14129214,3.137997857
153,13-2-1,13,2,13-2,1,N,0.444627,0.244594,272,5.551115123125783e-17,1.4222065110910762,0,21.87833143,2.927629286
154,13-2-2,13,2,13-2,2,N,0.444627,0.215713,273,0,1.5834352513589323,0,27.64593643,2.94516
155,13-2-3,13,2,13-2,3,N,0.444627,0.254001,274,1.1102230246251565e-16,2.5665572664516594,0,33.04539643,0.876535714
156,13-2-4,13,2,13-2,4,N,-0.988501,0.18671,275,-1.4223538326849103,1.3350087649806626,1.823194286,26.75187,4.049595
157,14-1-1,14,1,14-1,1,N,0.444627,0.36314,280,0,1.337972048437168,0,16.51393286,2.489361429
158,14-1-2,14,1,14-1,2,N,0.444627,0.152251,281,-5.551115123125783e-17,0.9614724184028153,0,18.23194286,4.680700714
159,14-1-3,14,1,14-1,3,N,0.444627,0.355894,282,0,1.6720391790694353,0,27.97902,2.629607143
160,14-1-4,14,1,14-1,4,N,-0.612486,0.373275,283,-1.0491662149833023,1.4536925189697403,2.033562857,20.54599714,2.629607143
161,14-2-1,14,2,14-2,1,N,0.444627,0.273209,284,-2.7755575615628914e-17,0.6479153900465997,0,9.8172,3.92688
162,14-2-2,14,2,14-2,2,N,0.444627,0.325047,285,0,0.7339681179014249,0,13.46358857,4.768354286
163,14-2-3,14,2,14-2,3,N,0.444627,0.316354,286,0,1.0682890273185472,0,15.72505071,3.471081429
164,14-2-4,14,2,14-2,4,N,-1.235169,0.174585,287,-1.6671678746115204,1.4191664306478935,0.999250714,21.00179571,2.822445
165,14-3-1,14,3,14-3,1,N,0.444627,0.296843,288,-4.5102810375396984e-17,0.09960124581237279,0,7.205123571,6.258465
166,14-3-2,14,3,14-3,2,N,0.444627,0.112102,289,0,1.5637596848748152,0,18.56502643,2.033562857
167,14-3-3,14,3,14-3,3,N,0.444627,-0.097838,290,-5.551115123125783e-17,0.6743327682688979,0,15.05888357,5.802666429
168,14-3-4,14,3,14-3,4,N,-0.596147,-0.162456,291,-1.0329495637278157,1.7362471712190657,1.840725,22.26400714,1.910847857
169,15-1-1,15,1,15-1,1,N,0.444627,-0.006411,292,5.551115123125783e-17,-1.0130004175548724,0,2.518830201,10.55282416
170,15-1-2,15,1,15-1,2,N,0.444627,0.609405,293,0,-0.482566360204466,0,8.977063087,17.76312483
171,15-1-3,15,1,15-1,3,N,0.444627,0.826243,294,0,0.021814792839169067,0,18.86138255,18.28837852
